title,price,orig_price,url,scraped_date
"Xiaomi A24i 24"" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)","R 2,319","R 2,399",https://www.takealot.com/xiaomi-a24i-24-full-hd-1080p-ips-monitor-100hz-6ms-16-9/PLID95912464,2025-05-13
Maybelline Superstay 30H Lumi Matte Foundation,R 191,R 310,https://www.takealot.com/maybelline-superstay-30h-lumi-matte-foundation/PLID96626327,2025-05-13
Samsung Galaxy A16 128GB LTE Dual Sim,"R 2,929",,https://www.takealot.com/samsung-galaxy-a16-128gb-lte-dual-sim/PLID97003451,2025-05-13
Vitatech Women's Pack 90 Tablets,R 155,R 174,https://www.takealot.com/vitatech-women-s-pack-90-tablets/PLID72830789,2025-05-13
Apple iPhone 13 128GB,"R 10,499",,https://www.takealot.com/apple-iphone-13-128gb/PLID73110725,2025-05-13
Fast Charger - Type-C Cable and Adapter - Compatible With Android,R 105,,https://www.takealot.com/fast-charger-type-c-cable-and-adapter-compatible-with-android/PLID93099810,2025-05-13
Bella Diamond Pleat Headboard - Covered Buttons,R 899,,https://www.takealot.com/bella-diamond-pleat-headboard-covered-buttons/PLID91972873,2025-05-13
The Ordinary Niacinamide 10% + Zinc 1% 30ml,R 129,R 130,https://www.takealot.com/the-ordinary-niacinamide-10-zinc-1-30ml/PLID93202017,2025-05-13
Packard Bell Mclaren-C 11.6 Inch 4GB 64GB Laptop,"R 2,679","R 4,999",https://www.takealot.com/packard-bell-mclaren-c-11-6-inch-4gb-64gb-laptop/PLID92204173,2025-05-13
LOreal Paris Plump Ambition Plumping Nourishing and Hydrating Lip Oil,R 229,R 239,https://www.takealot.com/loreal-paris-plump-ambition-plumping-nourishing-and-hydrating-li/PLID97280979,2025-05-13
